fpr,Transformer,Charlson,Elixhauser,llama,Delpi
0.522504892,0.873196986,0.815641265,0.774772887,0.774459017,0.898600646
0.52446184,0.874488698,0.816396834,0.775619193,0.776306548,0.898600646
0.526418787,0.875565124,0.817152402,0.776465498,0.778154079,0.899246502
0.528375734,0.87664155,0.817907971,0.777311803,0.780001611,0.900107643
0.530332681,0.877933262,0.818663539,0.778158109,0.781849142,0.900538213
0.532289628,0.879440258,0.819419108,0.779004414,0.783696674,0.900968784
0.534246575,0.880301399,0.820174676,0.77985072,0.785544205,0.901399354
0.536203523,0.880516685,0.820930245,0.780697025,0.787391736,0.90204521
0.53816047,0.881377826,0.821685814,0.78154333,0.789239268,0.902691066
0.540117417,0.881808396,0.822441382,0.782389636,0.791086799,0.903121636
0.542074364,0.881808396,0.823196951,0.783235941,0.792942383,0.903767492
0.544031311,0.883100108,0.823952519,0.784082247,0.794813934,0.904413348
0.545988258,0.883315393,0.824708088,0.784928552,0.796685484,0.905059203
0.547945205,0.884391819,0.825463657,0.785774857,0.798557035,0.905489774
0.549902153,0.886114101,0.826219225,0.786621163,0.800428585,0.905920344
0.5518591,0.886759957,0.826974794,0.787467468,0.802300136,0.906996771
0.553816047,0.888051668,0.827730362,0.788313774,0.804171687,0.907642626
0.555772994,0.889128095,0.828485931,0.789160079,0.806043237,0.909149623
0.557729941,0.88977395,0.829241499,0.790006384,0.807914788,0.909795479
0.559686888,0.890850377,0.829997068,0.79085269,0.809786338,0.91065662
0.561643836,0.891711518,0.830752637,0.791698995,0.811657889,0.911948332
0.563600783,0.891926803,0.831508205,0.792545301,0.81352944,0.911948332
0.56555773,0.892423946,0.832263774,0.793391606,0.81540099,0.912809473
0.567514677,0.893218515,0.833019342,0.794237911,0.817272541,0.913670614
0.569471624,0.89386437,0.833774911,0.795084217,0.819144091,0.914531755
0.571428571,0.895423517,0.83453048,0.795930522,0.821015642,0.914962325
0.573385519,0.896017223,0.835286048,0.796776828,0.822887193,0.91517761
0.575342466,0.896878364,0.836041617,0.797623133,0.824758743,0.915966498
0.577299413,0.897739505,0.836797185,0.798469438,0.826630294,0.916254037
0.57925636,0.898385361,0.837552754,0.799315744,0.828462382,0.917330463
0.581213307,0.899677072,0.838308323,0.800162049,0.829032335,0.917545748
0.583170254,0.900107643,0.839063891,0.801008354,0.829602287,0.917976319
0.585127202,0.900968784,0.83981946,0.80185466,0.83017224,0.919052745
0.587084149,0.901399354,0.840575028,0.802700965,0.830743264,0.919698601
0.589041096,0.90204521,0.841330597,0.803547271,0.831622181,0.920559742
0.590998043,0.90204521,0.842086165,0.804393576,0.832501097,0.920990312
0.59295499,0.902260495,0.842841734,0.805239881,0.833380014,0.921420883
0.594911937,0.902906351,0.843597303,0.806086187,0.834258931,0.922066738
0.596868885,0.903408613,0.844352871,0.806932492,0.835137847,0.922712594
0.598825832,0.903982777,0.84510844,0.807778798,0.836016764,0.922927879
0.600782779,0.904628633,0.845864008,0.808625103,0.83689568,0.923573735
0.602739726,0.905705059,0.846619577,0.809471408,0.837774597,0.924865447
0.604696673,0.906350915,0.847375146,0.810317714,0.838709574,0.925511302
0.60665362,0.907256234,0.848130714,0.811164019,0.839956343,0.926587729
0.608610568,0.908073197,0.848886283,0.812010325,0.841203112,0.927018299
0.610567515,0.908719053,0.849641851,0.81285663,0.84244988,0.927233584
0.612524462,0.909795479,0.85039742,0.813702935,0.843696649,0.92744887
0.614481409,0.910441335,0.851152988,0.814549241,0.844943418,0.928094726
0.616438356,0.911517761,0.851908557,0.815395546,0.846323382,0.928310011
0.618395303,0.913024758,0.852664126,0.816241852,0.848027948,0.929601722
0.62035225,0.913455328,0.853419694,0.817088157,0.849732513,0.929817008
0.622309198,0.913670614,0.854175263,0.817934462,0.851437079,0.930462863
0.624266145,0.91474704,0.854930831,0.818780768,0.853141644,0.931324004
0.626223092,0.915823466,0.8556864,0.819627073,0.85484621,0.932185145
0.628180039,0.916684607,0.856441969,0.820473379,0.856550775,0.933261572
0.630136986,0.917330463,0.857197537,0.821319684,0.858255341,0.933907427
0.632093933,0.919483315,0.857953106,0.822165989,0.859959906,0.934122713
0.634050881,0.919698601,0.858708674,0.823012295,0.861664472,0.934553283
0.636007828,0.920344456,0.859464243,0.8238586,0.863369037,0.935414424
0.637964775,0.921636168,0.860219812,0.824704906,0.865073603,0.93606028
0.639921722,0.921851453,0.86097538,0.825551211,0.866778168,0.93649085
0.641878669,0.922497309,0.861730949,0.826397516,0.868482734,0.93649085
0.643835616,0.922712594,0.862486517,0.827243822,0.870187299,0.936921421
0.645792564,0.92378902,0.863242086,0.828090127,0.871891865,0.937567277
0.647749511,0.924219591,0.863997654,0.828936433,0.87359643,0.937567277
0.649706458,0.925080732,0.864753223,0.829782738,0.875300996,0.938428418
0.651663405,0.925296017,0.865508792,0.830629043,0.876807889,0.938858988
0.653620352,0.925941873,0.86626436,0.831475349,0.878176743,0.939289559
0.655577299,0.926587729,0.867019929,0.832321654,0.879545598,0.939504844
0.657534247,0.927664155,0.867775497,0.83316796,0.880914452,0.939935414
0.659491194,0.92787944,0.868531066,0.834014265,0.882283306,0.940365985
